# path	newest_branch	holder_count
control-gateway-state/active-work/head.json	control-gateway-state/active-work/learning-system-rebuild-001m-s06	11
control-gateway-state/active-work/revisions/000000000001-1e5a66ed86fd598703c59d9547cecbd26011ff580a61584cbee5b50765cb4423.json	control-gateway-state/active-work/r01-production-proof	1
control-gateway-state/active-work/revisions/000000000001-30db7a7663253e1e8b978ad68287c6f0ea6b49791b137604e6928274307491a5.json	control-gateway-state/active-work/second-shift-production-master-completion-001	1
control-gateway-state/active-work/revisions/000000000001-7ff947b69b24131962437e18070ee2c34f8140e9424bb598e8f3b3d30c6ef5cb.json	control-gateway-state/active-work/github-a01-controller-forensic-reconciliation-001c-r02-freeze	1
control-gateway-state/active-work/revisions/000000000001-b4f94d9ee6dd3fc8696d2c47446c99428d16bad9d52e28d9b4b5e23f8a5f3a21.json	control-gateway-state/active-work/second-shift-control-gateway-dev-recovery-001	6
control-gateway-state/active-work/revisions/000000000001-cbe9f07cae759161d3bc1fb41add5f82117d567e4afee5aacbe1208f32eb874b.json	control-gateway-state/active-work/r02-production-proof	1
control-gateway-state/active-work/revisions/000000000001-f46e25d886693ece59e6f3a5457e40a0f57d089b76a9b62d32312f028633287f.json	control-gateway-state/active-work/learning-system-rebuild-001m-s06	1
control-gateway-state/active-work/revisions/000000000002-3c05d7fc1b5b16553b782f7aba33e8be87bb5d295c94d681cd1df3f6f6ef7d52.json	control-gateway-state/active-work/second-shift-control-gateway-dev-recovery-001	6
control-gateway-state/active-work/revisions/000000000002-cf9d2b82d2da3936941ad02c520f9e5f982c45394911d6917b037274100e17d2.json	control-gateway-state/active-work/github-a01-controller-forensic-reconciliation-001c-r02-freeze	1
control-gateway-state/active-work/revisions/000000000003-6728947361523faa60d06435efaf9a1ff301f81a0b85a6df4086880793aaa43b.json	control-gateway-state/active-work/second-shift-control-gateway-dev-recovery-001	6
control-gateway-state/active-work/revisions/000000000004-b2d61b83b251dc695000f006e46455db114c3ea28b257b60791b1776bfd8fc4f.json	control-gateway-state/active-work/second-shift-control-gateway-dev-recovery-001	6
control-gateway-state/active-work/revisions/000000000005-9f7f7d1297397f6984402a580066eaf98ef230f4fa0fbb774a89667365ced18b.json	control-gateway-state/active-work/second-shift-control-gateway-dev-recovery-001	6
control-gateway-state/active-work/revisions/000000000006-29b09bc68c50ea5ab8b9d35bb47e0122f8824c2686a823d3615f7cd3153d0c9e.json	control-gateway-state/active-work/second-shift-control-gateway-dev-recovery-001	6
control-gateway-state/active-work/revisions/000000000007-e44b17e197c86800ffd94e935674d5c5f2fcadd1c6f480ed26e913a4e1f910f1.json	control-gateway-state/active-work/second-shift-control-gateway-dev-recovery-001	6
control-gateway-state/active-work/revisions/000000000008-62f863eef8ebbd4c6a91e741b83f8fff0b47dd02fd7e3261e190f0368c31d975.json	control-gateway-state/active-work/second-shift-control-gateway-dev-recovery-001	6
control-gateway-state/active-work/revisions/000000000009-8cef60ae4e047337a974002e6460e91c38724b514438cc82bf6f859466c7c7a6.json	control-gateway-state/active-work/second-shift-control-gateway-dev-recovery-001	6
control-gateway-state/active-work/revisions/000000000010-f535063c9c7287adc842fd12388d954f86470cb4670965e4f20dcdf79eb7b567.json	control-gateway-state/active-work/second-shift-control-gateway-dev-recovery-001	6
control-gateway-state/active-work/revisions/000000000011-fae50438b1ae1fce459f86aa89a78bfe9e0be3a12d12425cbaaa19991bc31a48.json	control-gateway-state/active-work/second-shift-control-gateway-dev-recovery-001	6
control-gateway-state/active-work/revisions/000000000012-0aaef2b591c5ec80b4286eabec575ee0cfb7e1878a45c0391e89fa944bc1b444.json	control-gateway-state/active-work/second-shift-control-gateway-dev-recovery-001	6
control-gateway-state/active-work/revisions/000000000013-eebcfe535fc0b4f472b92fc41ef1c53b9c4480a468acc3ed0935429651b5b9aa.json	control-gateway-state/active-work/second-shift-control-gateway-dev-recovery-001	6
control-gateway-state/active-work/revisions/000000000014-233858556673573d7ac38c73c0ff0548662223da31680875caf7be43c9bc5a9d.json	control-gateway-state/active-work/second-shift-control-gateway-dev-recovery-001	6
control-gateway-state/active-work/revisions/000000000015-6a1f99abd0b84a8835973128afdeaaca612209d15fa34e977953556b6a715e23.json	control-gateway-state/active-work/second-shift-control-gateway-dev-recovery-001	6
control-gateway-state/active-work/revisions/000000000016-87dbd877369d7f85590ecd95f78f658e5b515354690ae41bb4cf227c19a362c7.json	control-gateway-state/active-work/second-shift-control-gateway-dev-recovery-001	6
control-gateway-state/active-work/revisions/000000000017-085b5ad886fd2594bc3415c229fbbb5ed6cef150a8a93c6e04da5859ccad17a8.json	control-gateway-state/active-work/second-shift-control-gateway-dev-recovery-001	6
control-gateway-state/active-work/revisions/000000000018-d5e93ade758762d7e29ba9e2bbce2b0d5e62071676e0ca6686844c29385b0ed1.json	control-gateway-state/active-work/second-shift-control-gateway-dev-recovery-001	6
control-gateway-state/active-work/revisions/000000000019-085b5ad886fd2594bc3415c229fbbb5ed6cef150a8a93c6e04da5859ccad17a8.json	control-gateway-state/active-work/second-shift-control-gateway-dev-recovery-001	6
control-gateway-state/active-work/revisions/000000000020-d5e93ade758762d7e29ba9e2bbce2b0d5e62071676e0ca6686844c29385b0ed1.json	control-gateway-state/active-work/second-shift-control-gateway-dev-recovery-001	3
control-gateway-state/active-work/revisions/000000000021-085b5ad886fd2594bc3415c229fbbb5ed6cef150a8a93c6e04da5859ccad17a8.json	control-gateway-state/active-work/second-shift-control-gateway-dev-recovery-001	3
