# path	newest_branch	holder_count
control-gateway/python/a01_evidence_retention.py	apply-updates-008	1
control-gateway/python/a01_github_ingress.py	apply-updates-008	1
control-gateway/python/a01_ingress_service.py	apply-updates-008	1
control-gateway/python/a01_morning_receipt.py	apply-updates-008	1
control-gateway/python/a01_night_scheduler.py	second-shift-control-gateway/cg-011-failure-restart-idempotency-audit-repair	2
control-gateway/python/a01_supervisor_adapter.py	second-shift-control-gateway/cg-008-supervisor-integration	1
control-gateway/python/a01_supervisor_coordination.py	second-shift-control-gateway/cg-011-failure-restart-idempotency-audit-repair	3
control-gateway/python/test_a01_evidence_retention.py	apply-updates-008	1
control-gateway/python/test_a01_github_ingress.py	apply-updates-008	1
control-gateway/python/test_a01_morning_receipt.py	apply-updates-008	1
control-gateway/src/github-authority-bootstrap.js	apply-updates-008	1
control-gateway/src/github-production-enforcement.js	github-a01-controller-forensic-reconciliation-001c-r01-admin-handoff	3
control-gateway/src/github-workflow-dispatch.js	apply-updates-008	1
control-gateway/test/github-control-adapter-repair.test.js	apply-updates-008	1
control-gateway/test/github-production-enforcement.test.js	github-a01-controller-forensic-reconciliation-001c-r01-admin-handoff	3
control-gateway/test/github-workflow-dispatch-passthrough.test.js	apply-updates-008	1
