# path	newest_branch	holder_count
controller-v2/.gitignore	controller-v2/foundation-002-rebuild	1
controller-v2/EXECUTION-001-FORENSIC-RECOVERY-INVENTORY-001.md	controller-v2/execution-001b-forensic-restart	2
controller-v2/EXECUTION-001A-WORK-GRAPH-ELIGIBILITY-DESIGN-LOCK-001.md	controller-v2/execution-001b-forensic-restart	2
controller-v2/EXECUTION-001A-WORK-GRAPH-ELIGIBILITY-QUALIFICATION-RECEIPT-001.md	controller-v2/execution-001b-forensic-restart	2
controller-v2/EXECUTION-001B-RETIRED-DRAFT-FORENSIC-ADJUDICATION-001.md	controller-v2/execution-001b-forensic-restart	1
controller-v2/EXECUTION-001B-WORKER-BINDING-DISPATCH-DESIGN-LOCK-001.md	controller-v2/execution-001b-forensic-restart	2
controller-v2/EXECUTION-001B-WORKER-BINDING-DISPATCH-DESIGN-REPAIR-R1-001.md	controller-v2/execution-001b-forensic-restart	2
controller-v2/EXECUTION-001B-WORKER-BINDING-DISPATCH-DESIGN-REPAIR-R2-001.md	controller-v2/execution-001b-forensic-restart	2
controller-v2/EXECUTION-001B-WORKER-BINDING-DISPATCH-QUALIFICATION-AND-FREEZE-001.md	controller-v2/execution-001b-forensic-restart	1
controller-v2/EXECUTION-001B-WORKER-CAPABILITY-DISPATCH-RECOVERY-INVENTORY-001.md	controller-v2/execution-001b-forensic-restart	2
controller-v2/EXECUTION-001C-WORKER-SELECTION-DISPATCH-RECONCILER-DESIGN-LOCK-001.md	controller-v2/execution-001b-forensic-restart	1
controller-v2/EXECUTION-001C-WORKER-SELECTION-DISPATCH-RECONCILER-RECOVERY-INVENTORY-001.md	controller-v2/execution-001b-forensic-restart	1
controller-v2/FOUNDATION-002-DESIGN.md	controller-v2/foundation-002-rebuild	1
controller-v2/FOUNDATION-002-RED-TEAM.md	controller-v2/foundation-002-rebuild	1
controller-v2/FOUNDATION-002B.md	controller-v2/execution-001b-forensic-restart	13
controller-v2/FOUNDATION-002C-A-SIMULATOR-QUALIFICATION.md	controller-v2/foundation-002b	1
controller-v2/FOUNDATION-002C-B-TRANSPORT-QUALIFICATION.md	controller-v2/foundation-002b	1
controller-v2/FOUNDATION-002C-C-LIVE-PREFLIGHT.md	controller-v2/foundation-002b	1
controller-v2/FOUNDATION-002C-C1-PROVISIONING-CONTRACT.md	controller-v2/foundation-002b	1
controller-v2/FOUNDATION-002C-C1.md	controller-v2/execution-001b-forensic-restart	9
controller-v2/FOUNDATION-002C-GITHUB-JOURNAL-RESEARCH.md	controller-v2/foundation-002b	1
controller-v2/FOUNDATION-002C.md	controller-v2/execution-001b-forensic-restart	12
controller-v2/FOUNDATION-002D-C1-REBIND.md	controller-v2/execution-001b-forensic-restart	6
controller-v2/FOUNDATION-002D.md	controller-v2/foundation-003-rebind	3
controller-v2/FOUNDATION-003-FORENSIC-RECOVERY-001.md	controller-v2/execution-001b-forensic-restart	5
controller-v2/FOUNDATION-003A-BACKUP-PUBLICATION-DESIGN-LOCK-001.md	controller-v2/execution-001b-forensic-restart	5
controller-v2/FOUNDATION-003B-CURRENT-RECOVERY-TAXONOMY-001.md	controller-v2/execution-001b-forensic-restart	5
controller-v2/FOUNDATION-003C-EXTERNAL-EFFECT-OWNERSHIP-AND-CONTRACT-CENSUS-001.md	controller-v2/execution-001b-forensic-restart	5
controller-v2/FOUNDATION-003D-DESIGN-LOCK-ERRATUM-001.md	controller-v2/execution-001b-forensic-restart	5
controller-v2/FOUNDATION-003D-EXTERNAL-EFFECT-DESIGN-LOCK-001.md	controller-v2/execution-001b-forensic-restart	5
controller-v2/FOUNDATION-003E-EXTERNAL-EFFECT-AUTHORITY-QUALIFICATION-RECEIPT-001.md	controller-v2/execution-001b-forensic-restart	5
controller-v2/FOUNDATION-003E-R1-DISPATCH-DURABILITY-BARRIER-DESIGN-LOCK-001.md	controller-v2/execution-001b-forensic-restart	5
controller-v2/FOUNDATION-003E-R1-DISPATCH-DURABILITY-BARRIER-QUALIFICATION-RECEIPT-001.md	controller-v2/execution-001b-forensic-restart	5
controller-v2/FOUNDATION-003F-RESTART-TAXONOMY-CLOSURE-001.md	controller-v2/execution-001b-forensic-restart	5
controller-v2/FOUNDATION-003G-PROJECTION-CHECKPOINT-IDENTITY-AND-FRESHNESS-CENSUS-001.md	controller-v2/execution-001b-forensic-restart	5
controller-v2/FOUNDATION-003H-PROJECTION-CHECKPOINT-DESIGN-LOCK-001.md	controller-v2/execution-001b-forensic-restart	5
controller-v2/FOUNDATION-003I-PROJECTION-CHECKPOINT-QUALIFICATION-RECEIPT-001.md	controller-v2/execution-001b-forensic-restart	5
controller-v2/FOUNDATION-003J-CLOSURE-CENSUS-001.md	controller-v2/execution-001b-forensic-restart	5
controller-v2/FOUNDATION-004-FORENSIC-RECONCILIATION-001.md	controller-v2/execution-001b-forensic-restart	4
controller-v2/FOUNDATION-004A-PROCESS-OWNERSHIP-LIFECYCLE-DESIGN-LOCK-001.md	controller-v2/execution-001b-forensic-restart	4
controller-v2/FOUNDATION-004A-R1-WINDOWS-OWNERSHIP-DESIGN-REPAIR-001.md	controller-v2/execution-001b-forensic-restart	4
controller-v2/FOUNDATION-004B-R1-CROSS-PLATFORM-QUALIFICATION-RECEIPT-001.md	controller-v2/execution-001b-forensic-restart	4
controller-v2/FOUNDATION-005-C1-FORENSIC-RECOVERY-001.md	controller-v2/execution-001b-forensic-restart	3
controller-v2/FOUNDATION-005A-C1-LOCAL-IPC-DESIGN-LOCK-001.md	controller-v2/execution-001b-forensic-restart	3
controller-v2/FOUNDATION-005B-C1-LOCAL-IPC-QUALIFICATION-RECEIPT-001.md	controller-v2/execution-001b-forensic-restart	3
controller-v2/FOUNDATION-006-C1-RECOVERY-INVENTORY-001.md	controller-v2/execution-001b-forensic-restart	2
controller-v2/FOUNDATION-006A-C1-POLICY-DECISION-RESEARCH-ADJUDICATION-001.md	controller-v2/execution-001b-forensic-restart	2
controller-v2/FOUNDATION-006B-C1-ADMISSION-DECISION-DESIGN-LOCK-001.md	controller-v2/execution-001b-forensic-restart	2
controller-v2/FOUNDATION-006C-C1-ADMISSION-DECISION-QUALIFICATION-RECEIPT-001.md	controller-v2/execution-001b-forensic-restart	2
controller-v2/FOUNDATION-C1-CLOSURE-CENSUS-001.md	controller-v2/execution-001b-forensic-restart	2
controller-v2/FOUNDATION-NEXT-C1-DURABLE-CLAIM-FENCING-DESIGN-LOCK-001.md	controller-v2/execution-001b-forensic-restart	2
controller-v2/FOUNDATION-NEXT-C1-DURABLE-CLAIM-FENCING-DESIGN-LOCK-ERRATUM-001.md	controller-v2/execution-001b-forensic-restart	2
controller-v2/FOUNDATION-NEXT-C1-DURABLE-CLAIM-FENCING-QUALIFICATION-RECEIPT-001.md	controller-v2/execution-001b-forensic-restart	2
controller-v2/FOUNDATION-NEXT-C1-LEASE-RECOVERY-PROJECTION-DESIGN-LOCK-001.md	controller-v2/execution-001b-forensic-restart	2
controller-v2/FOUNDATION-NEXT-C1-LEASE-RECOVERY-PROJECTION-QUALIFICATION-RECEIPT-001.md	controller-v2/execution-001b-forensic-restart	2
controller-v2/README.md	controller-v2/foundation-005	7
controller-v2/WORK-AUTHORITY.json	controller-v2/foundation-005	5
controller-v2/controller_v2/__init__.py	controller-v2/foundation-005	6
controller-v2/controller_v2/database.py	controller-v2/foundation-005	6
controller-v2/controller_v2/intake.py	controller-v2/foundation-005	2
controller-v2/controller_v2/lifecycle.py	controller-v2/foundation-005	3
controller-v2/controller_v2/migrations.py	controller-v2/foundation-005	6
controller-v2/controller_v2/reliability.py	controller-v2/foundation-005	4
controller-v2/controller_v2/store.py	controller-v2/foundation-005	6
controller-v2/docs/FOUNDATION-002-ACCEPTANCE-EVIDENCE.md	controller-v2/foundation-005	5
controller-v2/docs/FOUNDATION-002-ACCEPTANCE.md	controller-v2/foundation-005	6
controller-v2/docs/FOUNDATION-002-RESEARCH-DECISIONS.md	controller-v2/foundation-005	6
controller-v2/docs/FOUNDATION-003-ACCEPTANCE-EVIDENCE.md	controller-v2/foundation-005	4
controller-v2/docs/FOUNDATION-003-ACCEPTANCE.md	controller-v2/foundation-005	4
controller-v2/docs/FOUNDATION-003-RESEARCH-DECISIONS.md	controller-v2/foundation-005	4
controller-v2/docs/FOUNDATION-004-ACCEPTANCE.md	controller-v2/foundation-005	3
controller-v2/docs/FOUNDATION-005-ACCEPTANCE.md	controller-v2/foundation-005	2
controller-v2/docs/STATE-MACHINES.md	controller-v2/foundation-005	6
controller-v2/migrations/0001_foundation.sql	controller-v2/foundation-002-rebuild	1
controller-v2/migrations/0002_authority_epoch.sql	controller-v2/foundation-002-rebuild	1
controller-v2/migrations/0003_state_machine_hardening.sql	controller-v2/foundation-002-rebuild	1
controller-v2/migrations/0004_epoch_bound_leases.sql	controller-v2/foundation-002-rebuild	1
controller-v2/migrations/0005_identity_hardening.sql	controller-v2/foundation-002-rebuild	1
controller-v2/package.json	controller-v2/execution-001b-forensic-restart	13
controller-v2/pyproject.toml	controller-v2/foundation-005	7
controller-v2/reference-kernel/README.md	controller-v2/foundation-002b-reference-kernel	1
controller-v2/reference-kernel/controller_kernel.py	controller-v2/foundation-002b-reference-kernel	1
controller-v2/reference-kernel/schemas/command-v1.schema.json	controller-v2/foundation-002b-reference-kernel	1
controller-v2/reference-kernel/schemas/semantic-event-v1.schema.json	controller-v2/foundation-002b-reference-kernel	1
controller-v2/reference-kernel/test_controller_kernel.py	controller-v2/foundation-002b-reference-kernel	1
controller-v2/schema/001_initial.sql	controller-v2/foundation-005	6
controller-v2/schema/002_hardening.sql	controller-v2/foundation-005	6
controller-v2/schema/003_proof_boundaries.sql	controller-v2/foundation-005	5
controller-v2/schema/004_reliability.sql	controller-v2/foundation-005	4
controller-v2/spec/FOUNDATION-002D-COMMAND-INGRESS-QUALIFICATION.md	controller-v2/foundation-002b	1
controller-v2/spec/FOUNDATION-002E-WORKER-ASSIGNMENT-QUALIFICATION.md	controller-v2/foundation-002b	1
controller-v2/src/admission.js	controller-v2/execution-001b-forensic-restart	2
controller-v2/src/authoritative-github-control-state.js	controller-v2/execution-001b-forensic-restart	11
controller-v2/src/authority-ports.js	controller-v2/execution-001b-forensic-restart	13
controller-v2/src/authority-preflight.js	controller-v2/execution-001b-forensic-restart	11
controller-v2/src/canonical.js	controller-v2/execution-001b-forensic-restart	13
controller-v2/src/claim-recovery.js	controller-v2/execution-001b-forensic-restart	2
controller-v2/src/command-inbox.js	controller-v2/foundation-002b	1
controller-v2/src/command-wake-hint.js	controller-v2/foundation-003-rebind	2
controller-v2/src/control-state-activation-closure.js	controller-v2/execution-001b-forensic-restart	9
