# path	newest_branch	holder_count
system-master/021f-integration/DOCUMENTS-SERVICE-BINDING-001.json	documents/spine-effect-runtime-001-20260912	13
system-master/021f-integration/src/main/java/org/systemmaster/integration/documents/DocumentsServiceAdapter.java	documents/spine-effect-runtime-001-20260912	13
system-master/021f-integration/src/test/java/org/systemmaster/integration/documents/DocumentsServiceAdapterTest.java	documents/spine-effect-runtime-001-20260912	13
system-master/assurance-reconciliation-001/EXTERNAL-RESEARCH-BASELINE-001.md	system-master/assurance-reconciliation-001	1
system-master/assurance-reconciliation-001/RECON-001A-CURRENT-AUTHORITY-SYSTEM-CENSUS.csv	system-master/assurance-reconciliation-001	1
system-master/assurance-reconciliation-001/RECON-001A-EVIDENCE-SOURCE-MAP.md	system-master/assurance-reconciliation-001	1
system-master/assurance-reconciliation-001/RECON-001A-STATUS.json	system-master/assurance-reconciliation-001	1
system-master/assurance-reconciliation-001/RECON-001B-A01-ADJUDICATION-20260909.md	system-master/assurance-reconciliation-001	1
system-master/assurance-reconciliation-001/RECON-001B-CQ003-J-N-DURABILITY-MATRIX.md	system-master/assurance-reconciliation-001	1
system-master/assurance-reconciliation-001/RECON-001B-OVERNIGHT-PREQUALIFICATION.json	system-master/assurance-reconciliation-001	1
system-master/assurance-reconciliation-001/RECON-001B-PRELIMINARY-ADJUDICATION.md	system-master/assurance-reconciliation-001	1
system-master/assurance-reconciliation-001/RECON-001B-RESEARCH-METHOD.md	system-master/assurance-reconciliation-001	1
system-master/assurance-reconciliation-001/RECON-001B-SOURCE-CUSTODY-RECONCILIATION.md	system-master/assurance-reconciliation-001	1
system-master/assurance-reconciliation-001/RECON-001C-A01-SUCCESSOR-HOLD.json	system-master/assurance-reconciliation-001	1
system-master/assurance-reconciliation-001/RECON-001C-GITHUB-IMPORT-HANDOFF.md	system-master/assurance-reconciliation-001	1
system-master/assurance-reconciliation-001/RECON-001C-LIBRARY-BUNDLE-VERIFICATION-20260909.md	system-master/assurance-reconciliation-001	1
system-master/assurance-reconciliation-001/RECON-001C-STATUS-20260909.json	system-master/assurance-reconciliation-001	1
system-master/assurance-reconciliation-001/RECONCILIATION-CONTRACT.md	system-master/assurance-reconciliation-001	1
system-master/assurance-reconciliation-001/SYSTEM-STANDING-CENSUS-001.csv	system-master/assurance-reconciliation-001	1
system-master/book-system/author-decision-current-subject-guard.js	book-system/control-v1	21
system-master/book-system/author-decision-queue-core.js	book-system/control-v1	26
system-master/book-system/author-decision-queue.js	book-system/control-v1	28
system-master/book-system/author-decision-v2-rebind.js	book-system/control-v1	8
system-master/book-system/author-decision-v2-sqlite-store.js	book-system/control-v1	8
system-master/book-system/book-b01-e-frozen-denominator.test.js	book-system/control-v1	2
system-master/book-system/book-b03-e-cumulative-integration.test.js	book-system/control-v1	1
system-master/book-system/book-capability-binding-v1.js	book-system/control-v1	2
system-master/book-system/book-capability-binding-v1.registry.json	book-system/control-v1	2
system-master/book-system/book-capability-binding-v1.test.js	book-system/control-v1	2
system-master/book-system/book-execution-foundation-b01.js	book-system/control-v1	2
system-master/book-system/book-execution-foundation-b01.test.js	book-system/control-v1	2
system-master/book-system/book-existing-book-recovery-adapter-v1.js	book-system/control-v1	2
system-master/book-system/book-existing-book-recovery-adapter-v1.test.js	book-system/control-v1	2
system-master/book-system/book-knowledge-invalidation-v1.js	book-system/control-v1	1
system-master/book-system/book-knowledge-invalidation-v1.test.js	book-system/control-v1	1
system-master/book-system/book-knowledge-materializer-v1.js	book-system/control-v1	1
system-master/book-system/book-knowledge-materializer-v1.test.js	book-system/control-v1	1
system-master/book-system/book-recovered-baseline-admission-v1.js	book-system/control-v1	2
system-master/book-system/book-recovered-baseline-admission-v1.test.js	book-system/control-v1	2
system-master/book-system/book-source-recovery-acceptance-v1.js	book-system/control-v1	2
system-master/book-system/book-source-recovery-acceptance-v1.test.js	book-system/control-v1	2
system-master/book-system/book-story-bible-admission-v1.js	book-system/control-v1	1
system-master/book-system/book-story-bible-admission-v1.test.js	book-system/control-v1	1
system-master/book-system/book-story-bible-knowledge-v1.js	book-system/control-v1	1
system-master/book-system/book-story-bible-knowledge-v1.test.js	book-system/control-v1	1
system-master/book-system/book-workflow-book-admission-handoff.js	book-system/control-v1	14
system-master/book-system/book-workflow-concurrency-rules.js	book-system/control-v1	14
system-master/book-system/book-workflow-failure-semantics.js	book-system/control-v1	14
system-master/book-system/book-workflow-runtime-b01.js	book-system/control-v1	2
system-master/book-system/book-workflow-runtime-b01.test.js	book-system/control-v1	2
system-master/book-system/book-workflow-scheduler-runtime.js	book-system/control-v1	14
system-master/book-system/book-workflow-scheduler-runtime.test.js	book-system/control-v1	14
system-master/book-system/canonical-parent-v1-v2-migration.js	book-system/control-v1	4
system-master/book-system/canonical-parent-v2-core.js	book-system/control-v1	11
system-master/book-system/canonical-parent-v2-f5-core.js	book-system/control-v1	11
system-master/book-system/canonical-parent-v2-f6-core.js	book-system/control-v1	10
system-master/book-system/canonical-parent-v2-f6-sqlite-store.js	book-system/control-v1	9
system-master/book-system/canonical-parent-v2-sqlite-store.js	book-system/control-v1	11
system-master/book-system/content-admission-author-decision-applicability-guard.js	book-system/control-v1	15
system-master/book-system/content-object-admission-core.js	book-system/control-v1	17
system-master/book-system/content-object-admission.js	book-system/control-v1	17
system-master/book-system/context-compiler/book-context-compiler-b01-rebind.js	book-system/control-v1	2
system-master/book-system/context-compiler/book-context-compiler-b01-rebind.test.js	book-system/control-v1	2
system-master/book-system/existing-book-recovery.js	book-system/control-v1	15
system-master/book-system/export-freeze-core.js	book-system/control-v1	24
system-master/book-system/export-freeze-parent-admission-guard.js	book-system/control-v1	21
system-master/book-system/export-freeze-v2-rebind.js	book-system/control-v1	6
system-master/book-system/export-freeze-v2-sqlite-store.js	book-system/control-v1	6
system-master/book-system/export-freeze-v2.js	book-system/control-v1	6
system-master/book-system/export-freeze.js	book-system/control-v1	22
system-master/book-system/governing-style-profile-core.js	book-system/control-v1	11
system-master/book-system/integration-proposal-runtime-v2-core.js	book-system/control-v1	29
system-master/book-system/integration-proposal-runtime-v2.js	book-system/control-v1	29
system-master/book-system/integration-proposal-v2-rebind.js	book-system/control-v1	7
system-master/book-system/integration-proposal-v2-sqlite-store.js	book-system/control-v1	7
system-master/book-system/lifecycle-current-parent-compatibility-adapter.js	book-system/control-v1	23
system-master/book-system/lifecycle-current-parent-rebind-adapter.js	book-system/control-v1	22
system-master/book-system/lifecycle-transition-engine-runtime.js	book-system/control-v1	29
system-master/book-system/lifecycle-transition-engine.js	book-system/control-v1	29
system-master/book-system/lifecycle-v2-rebind.js	book-system/control-v1	9
system-master/book-system/lifecycle-v2-sqlite-store.js	book-system/control-v1	9
system-master/book-system/rights-custody-evidence-core.js	book-system/control-v1	11
system-master/book-system/version-admission-v2-rebind.js	book-system/control-v1	11
system-master/book-system/version-admission-v2-sqlite-store.js	book-system/control-v1	11
system-master/book-system/version-and-rollback-core.js	book-system/control-v1	29
system-master/book-system/version-and-rollback.js	book-system/control-v1	29
system-master/book-system/workflow-evidence-parent-gate-v2.js	book-system/control-v1	5
system-master/control-v2/CHAT001A-CUMULATIVE-ASSEMBLY-003.md	foundation/planning-orchestration-build-001-20260912	40
system-master/control-v2/CHAT001A-RECONCILIATION-001.md	foundation/planning-orchestration-build-001-20260912	40
system-master/control-v2/CHAT001A-RECONCILIATION-002.md	foundation/planning-orchestration-build-001-20260912	40
system-master/control-v2/CHAT001A-RECONCILIATION-003.md	foundation/planning-orchestration-build-001-20260912	40
system-master/control-v2/CHAT001A_STREAM_CHECKPOINT_FINAL_STANDING_REPAIR_001.patch	foundation/planning-orchestration-build-001-20260912	40
system-master/control-v2/CORE-AUTHORITY-DELTA-7367CA60-RECONCILIATION-002.md	core/scope-lock-authority-reconciliation-001	1
system-master/control-v2/CORE-AUTHORITY-DELTA-DD74915F-RECONCILIATION-001.md	foundation/planning-orchestration-build-001-20260912	40
system-master/control-v2/CORE-CHAT-SCOPE-LOCK-001.md	core/scope-lock-authority-reconciliation-001	1
system-master/control-v2/CORE-SOURCE-CUSTODY-DEADLOCK-REPAIR-001.md	foundation/planning-orchestration-build-001-20260912	39
system-master/control-v2/DATA001-RECONCILIATION-001.md	foundation/planning-orchestration-build-001-20260912	41
system-master/control-v2/DATA001_BACKUPSET_RESTORE_BINDING_REPAIR_001.patch	foundation/planning-orchestration-build-001-20260912	41
system-master/control-v2/FOUNDATION-SPINE-MASTER-COMPLETION-MAP-001C-RECEIPT.json	foundation-spine-master-completion-map-001d-20260912	2
system-master/control-v2/FOUNDATION-SPINE-MASTER-COMPLETION-MAP-001C.md	foundation-spine-master-completion-map-001d-20260912	2
system-master/control-v2/FOUNDATION-SPINE-MASTER-COMPLETION-MAP-001D-RECEIPT.json	foundation-spine-master-completion-map-001d-20260912	1
system-master/control-v2/FOUNDATION-SPINE-MASTER-COMPLETION-MAP-001D.md	foundation-spine-master-completion-map-001d-20260912	1
system-master/control-v2/FOUNDATION007-RECONCILIATION-001.md	foundation/planning-orchestration-build-001-20260912	41
system-master/control-v2/FOUNDATION008-RECONCILIATION-001.md	foundation/planning-orchestration-build-001-20260912	41
system-master/control-v2/FOUNDATION008_FORENSIC_HOLD_REPAIR_001.patch	foundation/planning-orchestration-build-001-20260912	41
system-master/control-v2/NIGHT-SHIFT-CLOSURE-RECONCILIATION-2026-09-09.md	foundation/planning-orchestration-build-001-20260912	41
system-master/control-v2/OPERATOROPS001-RECONCILIATION-001.md	foundation/planning-orchestration-build-001-20260912	40
system-master/control-v2/OPERATOROPS001-SOURCE-CUSTODY-RECONCILIATION-001.md	foundation/planning-orchestration-build-001-20260912	40
system-master/control-v2/OPERATOROPS001-SOURCE-CUSTODY-RECONCILIATION-002.md	foundation/planning-orchestration-build-001-20260912	40
system-master/control-v2/OPERATOROPS001_R024_REBUILD_001.patch	foundation/planning-orchestration-build-001-20260912	40
system-master/control-v2/PLATFORM001-RECONCILIATION-001.md	foundation/planning-orchestration-build-001-20260912	41
system-master/control-v2/PLATFORM001_FENCE_EPOCH_MONOTONICITY_REPAIR_001.patch	foundation/planning-orchestration-build-001-20260912	41
system-master/control-v2/PLATFORM002-RECONCILIATION-001.md	foundation/planning-orchestration-build-001-20260912	41
system-master/control-v2/PLATFORM002_RECONCILING_ORDINARY_CLAIM_REPAIR_001.patch	foundation/planning-orchestration-build-001-20260912	41
