# path	newest_branch	holder_count
tools/audiobook_builder.py	recovery/core-consolidation-001	2
tools/automation_plan.py	recovery/core-consolidation-001	2
tools/browser_action_plan.py	recovery/core-consolidation-001	2
tools/calendar_action_plan.py	recovery/core-consolidation-001	2
tools/chat_turn_plan.py	recovery/core-consolidation-001	2
tools/document-r4/admit_capability_ledger_007.py	documents/r4-current-capability-ledger-admission-007	1
tools/document-r4/build_transport.py	documents/r4-post-admission-root-ledger-compatibility-006r	9
tools/document-r4/test_transport_contract.py	documents/r4-post-admission-root-ledger-compatibility-006r	9
tools/document-r4/verify_and_extract_transport.py	documents/r4-post-admission-root-ledger-compatibility-006r	9
tools/second_shift_supervisor_v2.py	apply-updates-008	42
tools/website_builder.py	recovery/core-consolidation-001	2
